AUTHOR,BASE,DESTINATION_MODUL,DETAIL,FILE_NAME,FOLDER,FRIENDLY_URL,FUSEACTION,FUSEACTION2,HEAD,IS_ACTIVE,IS_ADD,IS_DELETE,IS_SPECIAL,IS_UPDATE,IS_WBO_DENIED,IS_WBO_FORM_LOCK,IS_WBO_LOCK,IS_WBO_LOG,LEFT_MENU_NAME,MODUL,MODUL_SHORT_NAME,OBJECTS_COUNT,RECORD_DATE,RECORD_EMP,RECORD_IP,RELATED_FUSEACTION,RELATED_MODUL_SHORT_NAME,SECURITY,STAGE,STATUS,TYPE,UPDATE_DATE,UPDATE_EMP,UPDATE_IP,VERSION,WINDOW
1,'ERP',NULL,NULL,'add_save_fintab.cfm','query',NULL,'emptypopup_add_save_fintab',NULL,'Mali Tablolar Ekle Query',1,1,0,0,0,0,0,0,0,'fintab_left_menu','Account','account',87,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-09-04 08:27:03.417',10,'192.168.18.109','v 12','normal'
1,'ERP',NULL,NULL,'add_sum_bills.cfm','query',NULL,'emptypopup_add_sum_bills',NULL,'Query Hareket Birleştirme',1,1,0,0,0,0,0,0,NULL,'account_left_menu','Account','account',143,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 09:20:13.01',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'add_bill_process_group.cfm','query',NULL,'emptypopup_bills_process_group',NULL,'Query Fiş Birleştime İşlem Grupları Ekle',1,1,0,0,0,0,0,0,NULL,'defin_left_menu','Account','account',7,'2011-05-11 13:05:48.0',2199,'192.168.18.33',NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:20:47.68',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'concentrate_bill_numbers.cfm','query',NULL,'emptypopup_concentrate_bill_no',NULL,'Query Muhasebe Fiş Numaralarını Düzenle',1,1,0,0,0,0,0,0,NULL,'defin_left_menu','Account','account',31,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:48:00.48',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'del_account_open_row.cfm','query',NULL,'emptypopup_del_account_open_row',NULL,'Açılış Fişi Satır Sil Query',1,0,1,0,0,NULL,NULL,NULL,0,NULL,'Account','account',18,'2013-02-07 11:19:33.0',10,'192.168.18.170',NULL,NULL,'HTTP',52,'Deployment',2,NULL,NULL,NULL,'v 12','emptypopup'
1,'ERP',NULL,NULL,'del_fintab.cfm','query',NULL,'emptypopup_del_fintab',NULL,'Query Kayıtlı Mali Tablolar Sil',1,0,1,0,0,0,0,0,NULL,'fintab_left_menu','Account','account',42,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:51:53.317',15,'192.168.18.66','v 12','normal'
1,'ERP',NULL,NULL,'del_inflation.cfm','query',NULL,'emptypopup_del_inflation',NULL,'Query Enflasyon Tanımı Sil',1,0,1,0,0,0,0,0,NULL,'defin_left_menu','Account','account',1,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 14:47:36.447',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'del_reescount.cfm','query',NULL,'emptypopup_del_reescount',NULL,'Reeskont Sil Query',1,0,1,0,0,NULL,NULL,NULL,0,NULL,'Account','account',0,'2012-09-14 13:08:11.0',10,'192.168.18.109',NULL,NULL,'HTTP',52,'Deployment',2,'2012-09-27 11:24:36.507',10,'192.168.18.109','v 12','emptypopup'
1,'ERP',NULL,NULL,'list_account_card.cfm','display',NULL,'emptypopup_list_account_card',NULL,'Yevmiye Defteri',1,0,0,0,0,0,0,0,NULL,'account_left_menu','Account','account',25,'2012-02-28 11:06:48.0',NULL,NULL,'list_account_card','account','HTTP',52,'Deployment',4,'2012-08-14 16:10:26.3',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'list_account_card_rows.cfm','display',NULL,'emptypopup_list_account_card_rows',NULL,'Muavin Defter Dökümü',1,0,0,0,0,0,0,0,NULL,'account_left_menu','Account','account',24,'2012-02-28 11:06:48.0',NULL,NULL,'list_account_card_rows','account','HTTP',52,'Deployment',4,'2012-08-14 15:58:41.217',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'list_kebir.cfm','display',NULL,'emptypopup_list_kebir',NULL,'Defter-i Kebir',1,0,0,0,0,0,0,0,NULL,'account_left_menu','Account','account',32,'2012-02-28 11:06:48.0',NULL,NULL,'list_kebir','account','HTTP',52,'Deployment',4,'2012-08-14 16:05:15.12',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'list_multi_acc_codes.cfm','display',NULL,'emptypopup_list_multi_acc_codes',NULL,'Çoklu Muhasebe Kodu Seçme (Custom Tag)',1,0,0,0,0,0,0,0,NULL,'account_left_menu','Account','account',928,'2011-09-27 20:39:34.0',7,'192.168.18.90',NULL,NULL,'HTTP',52,'Deployment',5,'2012-08-15 11:10:57.31',15,'192.168.18.66','v 12','emptypopup'
