_FAMILY,AUTHOR,BASE,CONTROLLER_FILE_PATH,DESTINATION_MODUL,DETAIL,DICTIONARY_ID,FILE_NAME,FILE_PATH,FOLDER,FRIENDLY_URL,FULL_FUSEACTION,FUSEACTION,FUSEACTION2,HEAD,IS_ACTIVE,IS_ADD,IS_DELETE,IS_MENU,IS_SPECIAL,IS_TEMP,IS_UPDATE,IS_WBO_DENIED,IS_WBO_FORM_LOCK,IS_WBO_LOCK,IS_WBO_LOG,LEFT_MENU_NAME,MODUL,MODUL_SHORT_NAME,MODULE_NO,OBJECTS_COUNT,POPUP_TYPE,RECORD_DATE,RECORD_EMP,RECORD_IP,RELATED_FUSEACTION,RELATED_MODUL_SHORT_NAME,SECURITY,STAGE,STATUS,TYPE,UPDATE_DATE,UPDATE_EMP,UPDATE_IP,VERSION,WINDOW
NULL,1,'Intranet',NULL,NULL,NULL,NULL,'account_closed_definition_end.cfm','account/query/account_closed_definition_end.cfm','query',NULL,'account.emptypopup_account_closed_end','emptypopup_account_closed_end',NULL,'Gelir Tablosu Kapanış Hesapları Query',1,0,0,NULL,0,1,0,NULL,0,NULL,0,NULL,'Account','account',22,246,NULL,'2014-06-24 11:26:07.0',3248,'127.0.0.1',NULL,NULL,'HTTP',52,'Development',4,'2014-06-24 11:31:19.837',3248,'127.0.0.1','v 14.00','emptypopup'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_acc_to_acc.cfm','account/query/add_acc_to_acc.cfm','query',NULL,'account.emptypopup_add_acc_to_acc_act','emptypopup_add_acc_to_acc_act',NULL,'Query Hesap Aktarım / Yansıtma İşlemi Ekle',1,1,0,NULL,0,1,0,0,0,0,0,'account_left_menu','Account','account',22,481,'page',NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2013-03-25 14:07:10.833',89,'10.0.0.11','v 12','popup'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_account_card_document_type.cfm','account/query/add_account_card_document_type.cfm','query',NULL,'account.emptypopup_add_account_card_document_type','emptypopup_add_account_card_document_type',NULL,'query/add_bill_type.cfm',1,1,0,NULL,0,1,0,NULL,0,NULL,0,NULL,'Account','account',22,142,NULL,'2014-05-12 13:53:09.0',1478,'127.0.0.1',NULL,NULL,'HTTP',52,'Development',2,'2014-05-12 17:46:38.61',1478,'127.0.0.1','v 14.00','emptypopup'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_account_card_payment_type.cfm','account/query/add_account_card_payment_type.cfm','query',NULL,'account.emptypopup_add_account_card_payment_type','emptypopup_add_account_card_payment_type',NULL,'query/add_bill_payment_type',1,1,0,NULL,0,1,0,NULL,0,NULL,0,NULL,'Account','account',22,54,NULL,'2014-05-12 13:55:00.0',1478,'127.0.0.1',NULL,NULL,'HTTP',52,'Development',2,'2014-05-12 17:48:05.207',1478,'127.0.0.1','v 14.00','emptypopup'
NULL,1,'Intranet',NULL,NULL,NULL,NULL,'add_account_closed_definition.cfm','account/query/add_account_closed_definition.cfm','query',NULL,'account.emptypopup_add_account_closed_definition','emptypopup_add_account_closed_definition',NULL,'Gelir Tablosu Kapanış Tanımları Query',1,1,0,NULL,0,1,0,NULL,0,NULL,0,NULL,'Account','account',22,810,NULL,'2014-06-19 09:51:31.0',3248,'127.0.0.1',NULL,NULL,'HTTP',52,'Development',2,'2014-06-24 10:21:36.97',3248,'127.0.0.1','v 14.00','emptypopup'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_account_open_row.cfm','account/query/add_account_open_row.cfm','query',NULL,'account.emptypopup_add_account_open_row','emptypopup_add_account_open_row',NULL,'Query Açılış Fişi Satır Ekle',1,1,0,NULL,0,1,0,0,0,0,NULL,'account_left_menu','Account','account',22,153,NULL,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:29:00.127',15,'192.168.18.66','v 12','emptypopup'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_bill_account_to_account_act.cfm','account/query/add_bill_account_to_account_act.cfm','query',NULL,'account.emptypopup_add_account_to_account_act','emptypopup_add_account_to_account_act',NULL,'Query Virman İşlemi Ekle',1,1,0,NULL,0,1,0,0,0,0,0,'account_left_menu','Account','account',22,197,'page',NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2013-03-25 14:08:14.117',89,'10.0.0.11','v 12','popup'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_bill_cash2cash.cfm','account/query/add_bill_cash2cash.cfm','query',NULL,'account.emptypopup_add_bill_cash2cash','emptypopup_add_bill_cash2cash',NULL,'Query Mahsup Fişi Ekle',1,1,0,NULL,0,1,0,0,0,0,NULL,'account_left_menu','Account','account',22,554,NULL,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 12:07:23.627',15,'192.168.18.66','v 12','emptypopup'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_bill_collecting.cfm','account/query/add_bill_collecting.cfm','query',NULL,'account.emptypopup_add_bill_collecting','emptypopup_add_bill_collecting',NULL,'Query Tahsil Fişi Ekle',1,1,0,NULL,0,1,0,0,0,0,NULL,'account_left_menu','Account','account',22,442,NULL,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 11:42:09.523',15,'192.168.18.66','v 12','emptypopup'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_bill_opening_other.cfm','account/query/add_bill_opening_other.cfm','query',NULL,'account.emptypopup_add_bill_opening_other','emptypopup_add_bill_opening_other',NULL,'Query Açılış Fişi Ekle',1,1,0,NULL,0,1,0,0,0,0,NULL,'account_left_menu','Account','account',22,79,NULL,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:43:56.167',15,'192.168.18.66','v 12','emptypopup'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_bill_payment.cfm','account/query/add_bill_payment.cfm','query',NULL,'account.emptypopup_add_bill_payment','emptypopup_add_bill_payment',NULL,'Query Tediye Fişi Ekle',1,1,0,NULL,0,1,0,0,0,0,NULL,'account_left_menu','Account','account',22,234,NULL,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:29:31.85',15,'192.168.18.66','v 12','emptypopup'
